Census Tract,2023 Median Household Income
010070100.05,"$59,308"
010070100.06,"$66,164"
010090501.03,"$58,576"
010090501.04,"$58,378"
010090501.05,"$49,899"
010090501.06,"$52,233"
010090501.07,"$49,169"
010090502.00,"$53,975"
010090503.01,"$54,210"
010090503.02,"$42,687"
010090504.00,"$54,444"
010090505.01,"$49,668"
010090505.02,"$80,146"
010090506.01,"$70,490"
010090506.03,"$78,446"
010090506.04,"$76,501"
010090507.01,"$55,694"
010090507.02,"$39,377"
010150002.00,"$28,884"
010150003.00,"$21,555"
010150004.00,"$25,445"
010150005.00,"$19,806"
010150006.00,"$17,023"
010150007.00,"$35,058"
010150008.00,"$24,424"
010150009.00,"$58,587"
010150010.00,"$66,321"
010150011.01,"$69,318"
010150011.02,"$34,756"
010150011.03,"$76,299"
010150012.01,"$34,313"
010150012.02,"$50,818"
010150013.00,"$34,141"
010150014.00,"$34,911"
010150015.01,"$58,835"
010150015.02,"$43,579"
010150016.00,"$39,021"
010150017.00,"$52,522"
010150018.01,"$54,160"
010150018.02,"$60,091"
010150020.01,"$57,075"
010150020.02,"$74,701"
010150021.01,"$17,344"
010150021.02,"$58,769"
010150021.04,"$49,848"
010150021.05,"$37,359"
010150022.00,"$44,650"
010150023.00,"$36,285"
010150024.00,"$49,370"
010150025.02,"$60,278"
010150025.03,"$77,087"
010150025.04,"$68,286"
010150026.00,"$53,378"
010159819.01,$0
010159819.02,$0
010159819.03,$0
010199557.01,"$40,114"
010199557.02,"$41,841"
010199558.01,"$50,504"
010199558.02,"$56,169"
010199559.00,"$53,364"
010199560.00,"$40,400"
010199561.01,"$39,161"
010199561.02,"$45,161"
010279589.00,"$48,738"
010279590.00,"$33,475"
010279591.00,"$64,172"
010279592.00,"$49,293"
010299595.00,"$48,403"
010299596.00,"$44,891"
010299597.00,"$47,553"
010299598.00,"$54,245"
010330201.00,"$40,563"
010330202.00,"$49,905"
010330203.00,"$23,422"
010330204.00,"$81,949"
010330205.00,"$56,569"
010330206.00,"$42,445"
010330207.03,"$60,306"
010330207.04,"$61,249"
010330207.05,"$54,370"
010330207.06,"$77,064"
010330208.01,"$66,200"
010330208.02,"$54,130"
010330209.01,"$52,935"
010330209.02,"$60,377"
010330210.00,"$45,548"
010439641.00,"$40,346"
010439642.01,"$56,498"
010439642.02,"$54,734"
010439643.00,"$58,477"
010439644.00,"$65,002"
010439645.00,"$57,015"
010439646.00,"$57,788"
010439647.00,"$59,522"
010439648.00,"$49,400"
010439649.01,"$69,652"
010439649.02,"$82,255"
010439650.01,"$63,948"
010439650.02,"$42,475"
010439651.00,"$62,147"
010439652.00,"$65,828"
010439653.00,"$59,633"
010439654.01,"$37,072"
010439654.02,"$51,167"
010439655.01,"$53,822"
010439655.02,"$60,865"
010439656.00,"$81,123"
010439657.00,"$57,290"
010499601.01,"$50,996"
010499601.02,"$50,000"
010499602.00,"$39,895"
010499603.01,"$53,405"
010499603.02,"$51,638"
010499603.03,"$45,230"
010499604.01,"$51,285"
010499604.02,"$54,766"
010499605.00,"$42,161"
010499606.01,"$54,046"
010499606.02,"$42,533"
010499607.01,"$34,863"
010499607.02,"$48,627"
010499607.03,"$48,630"
010499608.00,"$35,139"
010499609.00,"$44,150"
010499610.00,"$45,648"
010499611.00,"$47,984"
010499612.00,"$89,553"
010499613.00,"$24,103"
010499614.00,"$46,474"
010550002.00,"$32,481"
010550003.00,"$19,449"
010550004.00,"$55,825"
010550005.00,"$36,243"
010550006.00,"$31,949"
010550007.00,"$13,882"
010550008.00,"$27,525"
010550009.00,"$30,508"
010550010.00,"$28,350"
010550011.00,"$73,883"
010550012.00,"$40,316"
010550013.00,"$22,898"
010550016.00,"$39,233"
010550017.00,"$26,851"
010550101.00,"$40,853"
010550102.01,"$39,125"
010550102.02,"$55,757"
010550103.00,"$39,101"
010550104.01,"$42,384"
010550104.02,"$60,383"
010550105.03,"$60,089"
010550105.04,"$74,664"
010550105.05,"$47,707"
010550105.06,"$62,699"
010550106.01,"$56,715"
010550106.02,"$45,880"
010550107.00,"$46,171"
010550108.00,"$43,021"
010550109.00,"$53,144"
010550110.01,"$50,432"
010550110.02,"$46,355"
010550111.00,"$42,705"
010550112.00,"$25,046"
010570200.00,"$42,975"
010570201.00,"$50,694"
010570202.00,"$52,571"
010570203.00,"$32,811"
010570204.00,"$54,184"
010599729.00,"$46,083"
010599730.00,"$39,988"
010599731.00,"$50,509"
010599732.00,"$46,386"
010599733.00,"$42,945"
010599734.00,"$33,687"
010599735.00,"$49,034"
010599736.00,"$47,412"
010599737.01,"$27,818"
010599737.02,"$38,939"
010599737.03,"$75,638"
010719501.01,"$50,334"
010719501.02,"$38,424"
010719502.00,"$38,289"
010719503.01,"$39,858"
010719503.02,"$38,293"
010719504.00,"$52,443"
010719505.00,"$43,625"
010719506.01,"$40,356"
010719506.02,"$41,661"
010719507.00,"$39,849"
010719508.00,"$31,212"
010719509.01,"$46,445"
010719509.02,"$73,278"
010719510.00,"$45,486"
010719511.01,"$46,614"
010719511.02,"$50,557"
010730001.00,"$32,902"
