Census Tract,2028 Total Population
010070100.05,"3,976"
010070100.06,"1,778"
010090501.03,"1,687"
010090501.04,"2,106"
010090501.05,"5,600"
010090501.06,"2,923"
010090501.07,"3,116"
010090502.00,"3,871"
010090503.01,"2,764"
010090503.02,"2,417"
010090504.00,"4,537"
010090505.01,"4,731"
010090505.02,"3,219"
010090506.01,"4,293"
010090506.03,"3,979"
010090506.04,"5,410"
010090507.01,"6,019"
010090507.02,"3,107"
010150002.00,"2,837"
010150003.00,"2,252"
010150004.00,"2,245"
010150005.00,"1,042"
010150006.00,"1,706"
010150007.00,"2,871"
010150008.00,"1,695"
010150009.00,"3,334"
010150010.00,"5,495"
010150011.01,"1,905"
010150011.02,"1,516"
010150011.03,"3,507"
010150012.01,"3,267"
010150012.02,"4,086"
010150013.00,"1,905"
010150014.00,"3,079"
010150015.01,"3,432"
010150015.02,"1,657"
010150016.00,"3,438"
010150017.00,"5,750"
010150018.01,"2,320"
010150018.02,"4,370"
010150020.01,"2,743"
010150020.02,"4,888"
010150021.01,"5,210"
010150021.02,"3,094"
010150021.04,"4,220"
010150021.05,"2,871"
010150022.00,"3,569"
010150023.00,"3,604"
010150024.00,"4,424"
010150025.02,"4,497"
010150025.03,"3,702"
010150025.04,"3,050"
010150026.00,"4,409"
010159819.01,14
010159819.02,5
010159819.03,0
010199557.01,"3,208"
010199557.02,"3,661"
010199558.01,"2,212"
010199558.02,"3,035"
010199559.00,"4,139"
010199560.00,"3,869"
010199561.01,"1,800"
010199561.02,"2,539"
010279589.00,"5,618"
010279590.00,"3,143"
010279591.00,"3,053"
010279592.00,"2,625"
010299595.00,"2,689"
010299596.00,"4,160"
010299597.00,"3,473"
010299598.00,"4,827"
010330201.00,"4,161"
010330202.00,"1,973"
010330203.00,"2,324"
010330204.00,"1,579"
010330205.00,"5,001"
010330206.00,"4,971"
010330207.03,"7,015"
010330207.04,"4,652"
010330207.05,"1,673"
010330207.06,"6,499"
010330208.01,"4,347"
010330208.02,"3,377"
010330209.01,"4,140"
010330209.02,"3,577"
010330210.00,"3,786"
010439641.00,"6,566"
010439642.01,"3,673"
010439642.02,"4,182"
010439643.00,"5,588"
010439644.00,"4,696"
010439645.00,"4,763"
010439646.00,"4,337"
010439647.00,"5,600"
010439648.00,"4,631"
010439649.01,"3,593"
010439649.02,"4,817"
010439650.01,"3,216"
010439650.02,"4,754"
010439651.00,"4,629"
010439652.00,"2,633"
010439653.00,"5,145"
010439654.01,"3,142"
010439654.02,"4,613"
010439655.01,"1,453"
010439655.02,"4,890"
010439656.00,"2,681"
010439657.00,"3,273"
010499601.01,"1,760"
010499601.02,"3,593"
010499602.00,"3,404"
010499603.01,907
010499603.02,"1,393"
010499603.03,"4,519"
010499604.01,"1,221"
010499604.02,"5,969"
010499605.00,"5,021"
010499606.01,"1,548"
010499606.02,"4,872"
010499607.01,"2,216"
010499607.02,"1,294"
010499607.03,"4,976"
010499608.00,"4,684"
010499609.00,"4,050"
010499610.00,"4,080"
010499611.00,"3,205"
010499612.00,"2,448"
010499613.00,"5,758"
010499614.00,"4,119"
010550002.00,"2,901"
010550003.00,"2,381"
010550004.00,"3,794"
010550005.00,"1,798"
010550006.00,"1,809"
010550007.00,"1,152"
010550008.00,898
010550009.00,"2,524"
010550010.00,"1,174"
010550011.00,"5,416"
010550012.00,"3,215"
010550013.00,"2,240"
010550016.00,"3,181"
010550017.00,"1,393"
010550101.00,"1,978"
010550102.01,"2,612"
010550102.02,"2,462"
010550103.00,"2,680"
010550104.01,"3,346"
010550104.02,"6,150"
010550105.03,"4,316"
010550105.04,"4,799"
010550105.05,"2,897"
010550105.06,"2,336"
010550106.01,"5,701"
010550106.02,"3,828"
010550107.00,"3,540"
010550108.00,"2,777"
010550109.00,"1,716"
010550110.01,"4,743"
010550110.02,"4,721"
010550111.00,"5,370"
010550112.00,"2,494"
010570200.00,"1,462"
010570201.00,"3,272"
010570202.00,"4,012"
010570203.00,"3,374"
010570204.00,"3,457"
010599729.00,"3,835"
010599730.00,"6,225"
010599731.00,"2,427"
010599732.00,"4,187"
010599733.00,"3,198"
010599734.00,"2,685"
010599735.00,"2,197"
010599736.00,"1,756"
010599737.01,"1,375"
010599737.02,955
010599737.03,"2,998"
010719501.01,"2,925"
010719501.02,"3,437"
010719502.00,"3,209"
010719503.01,"2,538"
010719503.02,"3,041"
010719504.00,"1,986"
010719505.00,"3,297"
010719506.01,"3,001"
010719506.02,"2,387"
010719507.00,"4,429"
010719508.00,"4,006"
010719509.01,"1,706"
010719509.02,"4,655"
010719510.00,"4,523"
010719511.01,"4,390"
010719511.02,"2,970"
010730001.00,"2,691"
010730003.00,"1,725"
010730004.00,"2,884"
010730005.00,"3,098"
010730007.00,"2,403"
010730008.00,"3,082"
010730011.00,"4,319"
010730012.00,"2,458"
010730014.00,"1,784"
010730015.00,"2,440"
010730016.00,"2,563"
010730019.02,"1,467"
010730020.00,"3,425"
010730021.00,"2,782"
010730022.00,"2,225"
010730023.03,"3,012"
010730023.05,"2,910"
010730023.06,"3,247"
010730024.01,"3,414"
010730024.02,"1,358"
010730027.01,"1,987"
010730027.02,"2,629"
010730029.00,"1,662"
010730030.01,"3,161"
010730030.02,"2,547"
010730031.00,"2,947"
010730032.00,"1,065"
010730033.00,840
010730034.00,"1,827"
010730035.00,"2,211"
010730036.00,"4,215"
010730037.00,"4,267"
010730038.02,"4,315"
010730038.03,"3,458"
010730039.00,919
010730040.00,"2,870"
010730042.00,"1,768"
010730045.01,"3,244"
010730045.02,"5,162"
010730047.01,"3,581"
010730047.02,"3,320"
010730048.00,"2,151"
010730049.01,"1,548"
010730049.02,"3,575"
010730050.00,"3,369"
010730051.01,"1,033"
010730051.03,"2,460"
010730051.04,"2,396"
010730052.00,"3,235"
010730053.02,"3,351"
010730055.00,"1,868"
010730056.00,"4,898"
010730057.01,"1,891"
010730057.02,"2,914"
010730058.00,"3,026"
010730059.03,"4,903"
010730059.05,"5,350"
010730059.07,"1,922"
010730059.08,"3,408"
010730059.09,"2,385"
010730059.10,"4,804"
010730100.01,"5,490"
010730100.02,"4,840"
010730101.00,"1,381"
010730102.00,"2,085"
010730103.01,"2,342"
010730103.02,"3,672"
010730104.01,"3,486"
010730104.02,"2,061"
010730105.00,"1,598"
010730106.03,"2,153"
010730106.04,"4,492"
010730106.05,990
010730107.01,"1,788"
010730107.02,"4,817"
010730107.03,"2,416"
010730107.04,"5,145"
010730107.05,"4,380"
010730107.06,"5,342"
010730108.01,"6,883"
010730108.02,"3,703"
010730108.03,"6,004"
010730108.04,"3,311"
010730108.06,"6,688"
010730108.07,"1,379"
010730109.00,"4,543"
010730110.02,"1,859"
010730110.03,"2,199"
010730110.04,"3,577"
010730111.08,"5,333"
010730111.09,"4,230"
010730111.10,"5,923"
010730111.12,"3,830"
010730111.13,"3,938"
010730111.14,"9,403"
010730111.15,"5,586"
010730111.16,"3,207"
010730111.17,"5,792"
010730112.05,"2,082"
010730112.06,"5,119"
010730112.07,"4,950"
010730112.08,"4,659"
010730112.09,"3,083"
010730112.10,"3,532"
010730113.01,"3,484"
010730113.03,"4,136"
010730113.04,"4,086"
010730114.01,"2,397"
010730114.02,"4,172"
010730115.00,"5,818"
010730116.00,"3,848"
010730117.04,"4,316"
010730117.06,"2,339"
010730117.07,"4,152"
010730117.08,"6,450"
010730117.09,"4,743"
010730117.10,"3,589"
010730118.03,"4,755"
010730118.04,"2,962"
010730118.05,"3,463"
010730118.06,"3,459"
010730119.01,"2,754"
010730119.04,"1,943"
010730120.01,"4,451"
010730120.03,"2,420"
010730120.04,"5,556"
010730121.03,"4,134"
010730121.04,"2,738"
010730122.00,"3,894"
010730123.02,"4,010"
010730123.04,"2,515"
010730123.06,"3,361"
010730123.07,"3,903"
010730124.01,"3,455"
010730124.02,"2,936"
010730124.03,"3,451"
010730125.00,"3,913"
010730126.02,"3,068"
010730127.01,"4,469"
010730127.03,"8,113"
010730127.04,"2,736"
010730128.02,"3,059"
010730128.04,"4,231"
010730128.05,"2,662"
010730129.05,"4,805"
010730129.07,"4,766"
010730129.08,"4,504"
010730129.10,"4,499"
010730129.11,"7,252"
010730129.13,"4,232"
010730129.14,"2,497"
010730129.16,"3,780"
010730129.17,"2,910"
010730129.18,"2,472"
010730129.19,"2,706"
010730129.20,"2,985"
010730129.21,"3,574"
010730130.02,"1,796"
010730131.00,"3,770"
010730132.00,"2,164"
010730133.00,"3,041"
010730134.00,"4,241"
010730136.01,"2,877"
010730138.01,"1,842"
010730139.01,"1,494"
010730139.02,"2,165"
010730140.01,"3,722"
010730140.02,"3,312"
010730141.04,"3,805"
010730141.05,"5,091"
010730141.06,"2,840"
010730141.07,"2,098"
010730142.05,"3,185"
010730142.06,"5,072"
010730142.07,"6,718"
010730142.08,"6,078"
010730142.09,"4,798"
010730143.01,"3,245"
010730143.03,"7,215"
010730143.04,"4,449"
010730144.04,"5,717"
010730144.05,"4,062"
010730144.06,"6,354"
010730144.08,"4,055"
010730144.09,"3,245"
010730144.10,"5,517"
010730144.12,"4,147"
010730144.14,"6,673"
010730144.15,"3,769"
010750300.00,"4,152"
010750301.01,"3,340"
010750301.02,"2,074"
010750302.00,"3,875"
010770101.00,"2,248"
010770102.00,"1,817"
010770103.00,"1,175"
010770104.00,"3,408"
010770106.00,"2,839"
010770107.00,"1,590"
010770108.00,"3,608"
010770109.01,"3,625"
010770109.02,"3,742"
010770110.00,"4,596"
010770111.01,"5,857"
010770111.02,"4,599"
010770112.00,"4,077"
010770113.00,"2,125"
010770114.01,"3,244"
010770114.02,"2,849"
010770115.02,"5,434"
010770115.03,"3,020"
010770115.04,"4,309"
010770116.02,"4,714"
010770116.03,"4,662"
010770116.05,"2,792"
010770116.06,"4,671"
010770117.00,"4,759"
010770118.01,"4,576"
010770118.02,"4,012"
010799791.00,"1,532"
010799792.01,"1,903"
010799792.02,"2,265"
010799793.00,"4,446"
010799794.00,"4,298"
010799795.01,"2,555"
010799795.02,"3,147"
010799796.00,"5,390"
010799797.00,"1,928"
010799798.00,"3,405"
010799799.00,"1,778"
010830201.01,"5,007"
010830201.03,"3,727"
010830201.04,"4,741"
010830202.01,"5,992"
010830202.02,"6,363"
010830203.00,"4,239"
010830204.02,"6,779"
010830204.03,"3,808"
010830204.04,"3,760"
010830205.00,"3,221"
010830206.00,"5,065"
010830207.00,"2,991"
010830208.03,"6,811"
010830208.04,"6,420"
010830208.05,"5,581"
010830208.06,"4,524"
010830209.00,"4,908"
010830210.00,"2,648"
010830211.01,"4,047"
010830211.02,"4,509"
010830212.01,"10,780"
010830212.02,"7,350"
010830212.03,"6,620"
010890002.03,"5,530"
010890003.01,"3,932"
010890003.02,"3,526"
010890004.03,"4,812"
010890005.01,"1,871"
010890005.02,"2,259"
010890005.03,"1,750"
010890006.01,"1,447"
010890006.02,"2,288"
010890007.01,"2,982"
010890007.02,"2,814"
010890009.01,"5,758"
010890009.02,"1,985"
010890010.00,"3,192"
010890012.00,"2,844"
010890013.01,"3,562"
010890013.02,"1,937"
010890014.01,"2,717"
010890014.03,"3,997"
010890014.04,"4,023"
010890015.00,"5,722"
010890017.00,"1,894"
